0	0	0	0	0	0	0	0	0	1	0	1	1	1
0	0	1	0	0	0	0	0	1	0	0	0	0	0
0	1	0	1	0	0	0	0	0	1	0	0	1	0
0	0	1	0	0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	1	0	0	1	0	0	0
0	0	0	0	0	0	0	0	1	1	0	0	0	0
0	0	0	1	0	0	0	0	0	0	1	0	0	0
0	0	0	0	1	0	0	0	0	1	0	0	0	0
0	1	0	0	0	1	0	0	0	0	0	0	0	0
1	0	1	0	0	1	0	1	0	0	0	0	0	0
0	0	0	0	1	0	1	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	1	1
1	0	1	0	0	0	0	0	0	0	0	1	0	0
1	0	0	0	0	0	0	0	0	0	0	1	0	0

0	0	0	0	0	0	0	0	0	5	0	14	10	8
0	0	7	0	0	0	0	0	11	0	0	0	0	0
0	7	0	7	0	0	0	0	0	14	0	0	10	0
0	0	7	0	0	0	13	0	0	0	0	0	0	0
0	0	0	0	0	0	0	11	0	0	14	0	0	0
0	0	0	0	0	0	0	0	13	5	0	0	0	0
0	0	0	13	0	0	0	0	0	0	7	0	0	0
0	0	0	0	11	0	0	0	0	6	0	0	0	0
0	11	0	0	0	13	0	0	0	0	0	0	0	0
5	0	14	0	0	5	0	6	0	0	0	0	0	0
0	0	0	0	14	0	7	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0	0	14	9
10	0	10	0	0	0	0	0	0	0	0	14	0	0
8	0	0	0	0	0	0	0	0	0	0	9	0	0

0	0	0	0	0	0	0	0	0	4	0	1	5	1
0	0	2	0	0	0	0	0	3	0	0	0	0	0
0	2	0	5	0	0	0	0	0	4	0	0	3	0
0	0	5	0	0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	2	0	0	2	0	0	0
0	0	0	0	0	0	0	0	4	5	0	0	0	0
0	0	0	1	0	0	0	0	0	0	3	0	0	0
0	0	0	0	2	0	0	0	0	5	0	0	0	0
0	3	0	0	0	4	0	0	0	0	0	0	0	0
4	0	4	0	0	5	0	5	0	0	0	0	0	0
0	0	0	0	2	0	3	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	4	4
5	0	3	0	0	0	0	0	0	0	0	4	0	0
1	0	0	0	0	0	0	0	0	0	0	4	0	0

0	0	0	0	0	0	0	0	0	100	0	98	96	98
0	0	96	0	0	0	0	0	98	0	0	0	0	0
0	96	0	100	0	0	0	0	0	98	0	0	98	0
0	0	100	0	0	0	95	0	0	0	0	0	0	0
0	0	0	0	0	0	0	96	0	0	100	0	0	0
0	0	0	0	0	0	0	0	99	96	0	0	0	0
0	0	0	95	0	0	0	0	0	0	98	0	0	0
0	0	0	0	96	0	0	0	0	100	0	0	0	0
0	98	0	0	0	99	0	0	0	0	0	0	0	0
100	0	98	0	0	96	0	100	0	0	0	0	0	0
0	0	0	0	100	0	98	0	0	0	0	0	0	0
98	0	0	0	0	0	0	0	0	0	0	0	96	97
96	0	98	0	0	0	0	0	0	0	0	96	0	0
98	0	0	0	0	0	0	0	0	0	0	97	0	0

0	0	0	0	0	0	0	0	0	7	0	23	17	32
0	0	31	0	0	0	0	0	12	0	0	0	0	0
0	31	0	2	0	0	0	0	0	7	0	0	5	0
0	0	2	0	0	0	29	0	0	0	0	0	0	0
0	0	0	0	0	0	0	29	0	0	12	0	0	0
0	0	0	0	0	0	0	0	9	21	0	0	0	0
0	0	0	29	0	0	0	0	0	0	23	0	0	0
0	0	0	0	29	0	0	0	0	6	0	0	0	0
0	12	0	0	0	9	0	0	0	0	0	0	0	0
7	0	7	0	0	21	0	6	0	0	0	0	0	0
0	0	0	0	12	0	23	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0	0	0	14	7
17	0	5	0	0	0	0	0	0	0	0	14	0	0
32	0	0	0	0	0	0	0	0	0	0	7	0	0
